,,Proposition No. 31,
,,Insurance Amendments,
,,YES                       , NO       
,State Assembly District 1,,
,Del Norte,1 842,4 607
,Humboldt,11 715,27 163
,Lake,4 624,11 952
,Mendocino,7 969,16 059
,Sonoma,13 385,26 506
,District Totals,39 535,86 287
,Percent,"31,4%","68,6%"
,State Assembly District 2,,
,Butte,401,1 923
,Colusa,853,3 355
,Glenn,1 158,5 758
,Shasta,11 756,36 525
,Siskiyou,3 785,10 718
,Sutter,3 521,16 427
,Tehama,3 257,12 714
,Trinity,1 099,3 548
,Yolo,199,720
,District Totals,26 029,91 688
,Percent,"22,1%","77,9%"
,State Assembly District 3,,
,Butte,11 878,45 510
,Lassen,1 751,6 021
,Modoc,583,2 532
,Nevada,8 130,26 819
,Plumas,1 786,6 018
,Sierra,308,1 188
,Yuba,2 368,9 775
,District Totals,26 804,97 863
,Percent,"21,5%","78,5%"
,State Assembly District 4,,
,Alpine,136,327
,Amador,2 607,9 226
,Calaveras,3 245,11 403
,El Dorado,12 141,40 207
,Mono,820,2 127
,Placer,18 980,61 605
,District Totals,37 929,124 895
,Percent,"23,3%","76,7%"
,State Assembly District 5,,
,Sacramento,29 368,85 389
,District Totals,29 368,85 389
,Percent,"25,6%","74,4%"
,State Assembly District 6,,
,Marin,31 100,48 271
,Sonoma,15 919,32 243
,District Totals,47 019,80 514
,Percent,"36,9%","63,1%"
,State Assembly District 7,,
,Napa,11 827,24 752
,Solano,7 405,15 537
,Sonoma,18 664,33 845
,District Totals,37 896,74 134
,Percent,"33,8%","66,2%"
,State Assembly District 8,,
,Sacramento,743,2 217
,Solano,16 462,43 104
,Yolo,12 109,30 281
,District Totals,29 314,75 602
,Percent,"27,9%","72,1%"
,State Assembly District 9,,
,Sacramento,25 081,53 489
,District Totals,25 081,53 489
,Percent,"31,9%","68,1%"
,State Assembly District 1,,
,Sacramento,26 163,72 509
,San Joaquin,5 216,22 182
,District Totals,31 379,94 691
,Percent,"24,9%","75,1%"
,State Assembly District 1,,
,Contra Costa,28 332,73 692
,District Totals,28 332,73 692
,Percent,"27,8%","72,2%"
,State Assembly District 1,,
,San Francisco,35 142,45 302
,San Mateo,1 552,2 221
,District Totals,36 694,47 523
,Percent,"43,6%","56,4%"
,State Assembly District 1,,
,San Francisco,40 033,49 926
,District Totals,40 033,49 926
,Percent,"44,5%","55,5%"
,State Assembly District 1,,
,Alameda,25 987,35 651
,Contra Costa,13 091,21 776
,District Totals,39 078,57 427
,Percent,"40,5%","59,5%"
,State Assembly District 1,,
,Alameda,8 382,23 186
,Contra Costa,32 185,78 515
,District Totals,40 567,101 701
,Percent,"28,5%","71,5%"
,State Assembly District 1,,
,Alameda,27 373,45 967
,District Totals,27 373,45 967
,Percent,"37,3%","62,7%"
,State Assembly District 1,,
,San Joaquin,20 109,63 768
,District Totals,20 109,63 768
,Percent,"24,0%","76,0%"
,State Assembly District 1,,
,Alameda,24 212,55 348
,District Totals,24 212,55 348
,Percent,"30,4%","69,6%"
,State Assembly District 1,,
,San Mateo,33 324,53 241
,District Totals,33 324,53 241
,Percent,"38,5%","61,5%"
,State Assembly District 2,,
,Alameda,14 321,32 969
,Santa Clara,8 454,17 523
,District Totals,22 775,50 492
,Percent,"31,1%","68,9%"
,State Assembly District 2,,
,San Mateo,25 768,43 263
,Santa Clara,12 633,21 794
,District Totals,38 401,65 057
,Percent,"37,1%","62,9%"
,State Assembly District 2,,
,Santa Clara,24 402,53 200
,District Totals,24 402,53 200
,Percent,"31,4%","68,6%"
,State Assembly District 2,,
,Santa Clara,15 166,31 932
,District Totals,15 166,31 932
,Percent,"32,2%","67,8%"
,State Assembly District 2,,
,Santa Clara,29 614,70 378
,District Totals,29 614,70 378
,Percent,"29,6%","70,4%"
,State Assembly District 2,,
,Fresno,4 276,12 147
,Madera,4 503,18 299
,Mariposa,1 365,5 059
,Stanislaus,13 072,39 339
,Tuolumne,4 313,13 963
,District Totals,27 529,88 807
,Percent,"23,7%","76,3%"
,State Assembly District 2,,
,Merced,6 715,27 785
,San Joaquin,640,2 393
,Stanislaus,8 821,27 817
,District Totals,16 176,57 995
,Percent,"21,8%","78,2%"
,State Assembly District 2,,
,Monterey,12 750,32 306
,Santa Cruz,23 864,39 438
,District Totals,36 614,71 744
,Percent,"33,8%","66,2%"
,State Assembly District 2,,
,Monterey,6 621,22 747
,San Benito,2 697,8 701
,Santa Clara,8 566,22 272
,Santa Cruz,2 053,5 973
,District Totals,19 937,59 693
,Percent,"25,0%","75,0%"
,State Assembly District 2,,
,Fresno,20 402,60 705
,Tulare,5 612,20 949
,District Totals,26 014,81 654
,Percent,"24,2%","75,8%"
,State Assembly District 3,,
,Fresno,3 588,11 228
,Kern,4 850,17 521
,Kings,4 904,15 109
,Madera,314,1 204
,District Totals,13 656,45 062
,Percent,"23,3%","76,7%"
,State Assembly District 3,,
,Fresno,9 134,26 287
,Tulare,2 756,10 756
,District Totals,11 890,37 043
,Percent,"24,3%","75,7%"
,State Assembly District 3,,
,Kern,15 483,59 125
,Tulare,4 598,18 539
,District Totals,20 081,77 664
,Percent,"20,5%","79,5%"
,State Assembly District 3,,
,San Luis Obispo,20 586,57 457
,Santa Barbara,8 185,31 532
,District Totals,28 771,88 989
,Percent,"24,4%","75,6%"
,State Assembly District 3,,
,Inyo,1 343,4 508
,Kern,5 411,20 757
,San Bernardino,12 403,44 302
,District Totals,19 157,69 567
,Percent,"21,6%","78,4%"
,State Assembly District 3,,
,Santa Barbara,18 721,47 738
,Ventura,12 064,34 403
,District Totals,30 785,82 141
,Percent,"27,3%","72,7%"
,State Assembly District 3,,
,Los Angeles,20 969,71 812
,District Totals,20 969,71 812
,Percent,"22,6%","77,4%"
,State Assembly District 3,,
,Ventura,24 552,71 120
,District Totals,24 552,71 120
,Percent,"25,7%","74,3%"
,State Assembly District 3,,
,Los Angeles,17 203,39 143
,Ventura,10 944,31 843
,District Totals,28 147,70 986
,Percent,"28,4%","71,6%"
,State Assembly District 3,,
,Los Angeles,12 724,30 448
,District Totals,12 724,30 448
,Percent,"29,5%","70,5%"
,State Assembly District 4,,
,Los Angeles,21 911,41 139
,District Totals,21 911,41 139
,Percent,"34,8%","65,2%"
,State Assembly District 4,,
,Los Angeles,40 241,66 400
,District Totals,40 241,66 400
,Percent,"37,7%","62,3%"
,State Assembly District 4,,
,Los Angeles,40 982,48 021
,District Totals,40 982,48 021
,Percent,"46,0%","54,0%"
,State Assembly District 4,,
,Los Angeles,24 034,49 864
,District Totals,24 034,49 864
,Percent,"32,5%","67,5%"
,State Assembly District 4,,
,Los Angeles,30 623,67 232
,District Totals,30 623,67 232
,Percent,"31,3%","68,7%"
,State Assembly District 4,,
,Los Angeles,15 412,27 395
,District Totals,15 412,27 395
,Percent,"36,0%","64,0%"
,State Assembly District 4,,
,Los Angeles,7 290,15 184
,District Totals,7 290,15 184
,Percent,"32,4%","67,6%"
,State Assembly District 4,,
,Los Angeles,33 498,43 503
,District Totals,33 498,43 503
,Percent,"43,5%","56,5%"
,State Assembly District 4,,
,Los Angeles,16 159,19 433
,District Totals,16 159,19 433
,Percent,"45,4%","54,6%"
,State Assembly District 4,,
,Los Angeles,15 337,36 703
,District Totals,15 337,36 703
,Percent,"29,5%","70,5%"
,State Assembly District 5,,
,Los Angeles,8 033,23 899
,District Totals,8 033,23 899
,Percent,"25,2%","74,8%"
,State Assembly District 5,,
,Los Angeles,21 335,36 035
,District Totals,21 335,36 035
,Percent,"37,2%","62,8%"
,State Assembly District 5,,
,Los Angeles,16 240,26 634
,District Totals,16 240,26 634
,Percent,"37,9%","62,1%"
,State Assembly District 5,,
,Los Angeles,30 901,70 432
,District Totals,30 901,70 432
,Percent,"30,5%","69,5%"
,State Assembly District 5,,
,Los Angeles,25 064,66 362
,District Totals,25 064,66 362
,Percent,"27,4%","72,6%"
,State Assembly District 5,,
,Los Angeles,17 445,31 760
,District Totals,17 445,31 760
,Percent,"35,5%","64,5%"
,State Assembly District 5,,
,Los Angeles,18 352,57 284
