,,Proposition No. 30,
,, Insurance Lawsuits,
,,YES                       , NO       
,State Assembly District 1,,
,Del Norte,2 067,4 424
,Humboldt,13 556,25 577
,Lake,4 877,11 354
,Mendocino,9 702,14 452
,Sonoma,16 694,23 779
,District Totals,46 896,79 586
,Percent,"37,1%","62,9%"
,State Assembly District 2,,
,Butte,436,1 903
,Colusa,934,3 499
,Glenn,1 352,5 562
,Shasta,12 858,35 622
,Siskiyou,4 204,10 426
,Sutter,3 747,16 311
,Tehama,3 555,12 466
,Trinity,1 245,3 441
,Yolo,221,714
,District Totals,28 552,89 944
,Percent,"24,1%","75,9%"
,State Assembly District 3,,
,Butte,14 950,42 716
,Lassen,1 969,5 841
,Modoc,699,2 574
,Nevada,9 116,26 144
,Plumas,1 994,6 261
,Sierra,384,1 132
,Yuba,2 532,9 629
,District Totals,31 644,94 297
,Percent,"25,1%","74,9%"
,State Assembly District 4,,
,Alpine,173,291
,Amador,2 855,9 313
,Calaveras,3 641,11 115
,El Dorado,13 279,39 533
,Mono,908,2 211
,Placer,20 487,62 086
,District Totals,41 343,124 549
,Percent,"24,9%","75,1%"
,State Assembly District 5,,
,Sacramento,31 586,86 790
,District Totals,31 586,86 790
,Percent,"26,7%","73,3%"
,State Assembly District 6,,
,Marin,37 199,43 421
,Sonoma,18 735,29 705
,District Totals,55 934,73 126
,Percent,"43,3%","56,7%"
,State Assembly District 7,,
,Napa,13 645,23 234
,Solano,8 255,14 872
,Sonoma,21 810,31 456
,District Totals,43 710,69 562
,Percent,"38,6%","61,4%"
,State Assembly District 8,,
,Sacramento,766,2 304
,Solano,18 138,41 771
,Yolo,13 492,29 426
,District Totals,32 396,73 501
,Percent,"30,6%","69,4%"
,State Assembly District 9,,
,Sacramento,28 525,52 716
,District Totals,28 525,52 716
,Percent,"35,1%","64,9%"
,State Assembly District 1,,
,Sacramento,28 021,73 825
,San Joaquin,5 431,22 115
,District Totals,33 452,95 940
,Percent,"25,9%","74,1%"
,State Assembly District 1,,
,Contra Costa,31 809,71 594
,District Totals,31 809,71 594
,Percent,"30,8%","69,2%"
,State Assembly District 1,,
,San Francisco,46 459,36 110
,San Mateo,1 900,1 965
,District Totals,48 359,38 075
,Percent,"55,9%","44,1%"
,State Assembly District 1,,
,San Francisco,58 447,33 833
,District Totals,58 447,33 833
,Percent,"63,3%","36,7%"
,State Assembly District 1,,
,Alameda,37 523,26 225
,Contra Costa,16 137,19 412
,District Totals,53 660,45 637
,Percent,"54,0%","46,0%"
,State Assembly District 1,,
,Alameda,9 282,22 881
,Contra Costa,35 598,77 039
,District Totals,44 880,99 920
,Percent,"31,0%","69,0%"
,State Assembly District 1,,
,Alameda,35 803,39 908
,District Totals,35 803,39 908
,Percent,"47,3%","52,7%"
,State Assembly District 1,,
,San Joaquin,21 349,63 042
,District Totals,21 349,63 042
,Percent,"25,3%","74,7%"
,State Assembly District 1,,
,Alameda,27 860,53 187
,District Totals,27 860,53 187
,Percent,"34,4%","65,6%"
,State Assembly District 1,,
,San Mateo,40 077,48 034
,District Totals,40 077,48 034
,Percent,"45,5%","54,5%"
,State Assembly District 2,,
,Alameda,16 104,32 113
,Santa Clara,9 893,17 765
,District Totals,25 997,49 878
,Percent,"34,3%","65,7%"
,State Assembly District 2,,
,San Mateo,32 130,38 255
,Santa Clara,16 063,20 967
,District Totals,48 193,59 222
,Percent,"44,9%","55,1%"
,State Assembly District 2,,
,Santa Clara,30 218,51 988
,District Totals,30 218,51 988
,Percent,"36,8%","63,2%"
,State Assembly District 2,,
,Santa Clara,18 184,31 764
,District Totals,18 184,31 764
,Percent,"36,4%","63,6%"
,State Assembly District 2,,
,Santa Clara,35 616,70 228
,District Totals,35 616,70 228
,Percent,"33,6%","66,4%"
,State Assembly District 2,,
,Fresno,4 859,12 087
,Madera,4 766,18 119
,Mariposa,1 543,4 930
,Stanislaus,13 831,38 917
,Tuolumne,4 707,13 692
,District Totals,29 706,87 745
,Percent,"25,3%","74,7%"
,State Assembly District 2,,
,Merced,7 010,27 678
,San Joaquin,667,2 384
,Stanislaus,9 309,27 588
,District Totals,16 986,57 650
,Percent,"22,8%","77,2%"
,State Assembly District 2,,
,Monterey,13 997,31 407
,Santa Cruz,27 452,36 760
,District Totals,41 449,68 167
,Percent,"37,8%","62,2%"
,State Assembly District 2,,
,Monterey,7 167,22 352
,San Benito,2 925,8 561
,Santa Clara,10 108,22 636
,Santa Cruz,2 225,5 841
,District Totals,22 425,59 390
,Percent,"27,4%","72,6%"
,State Assembly District 2,,
,Fresno,23 819,60 494
,Tulare,5 858,20 842
,District Totals,29 677,81 336
,Percent,"26,7%","73,3%"
,State Assembly District 3,,
,Fresno,4 074,11 574
,Kern,5 017,17 381
,Kings,5 542,14 627
,Madera,305,1 224
,District Totals,14 938,44 806
,Percent,"25,0%","75,0%"
,State Assembly District 3,,
,Fresno,10 560,36 967
,Tulare,2 741,10 802
,District Totals,13 301,47 769
,Percent,"21,8%","78,2%"
,State Assembly District 3,,
,Kern,16 264,58 572
,Tulare,4 659,18 560
,District Totals,20 923,77 132
,Percent,"21,3%","78,7%"
,State Assembly District 3,,
,San Luis Obispo,22 308,56 652
,Santa Barbara,8 579,31 412
,District Totals,30 887,88 064
,Percent,"26,0%","74,0%"
,State Assembly District 3,,
