,,Proposition 31,
,,"Prohibition on Sale of
Certain Tobacco Products",
,,YES,NO
State Assembly 1,,,
,Alpine,425,165
,Amador,"7,553","6,530"
,El Dorado,"13,039","9,161"
,Lassen,"3,702","5,279"
,Modoc,"1,484","1,863"
,Nevada,"31,804","18,222"
,Placer,"8,089","5,885"
,Plumas,"4,870","3,635"
,Shasta,"33,012","33,808"
,Sierra,822,688
,Siskiyou,"9,890","7,493"
District Totals,,"114,690","92,729"
,Percent,55.3%,44.7%
,,,
State Assembly 2,,,
,Del Norte,"4,015","4,163"
,Humboldt,"30,538","16,635"
,Mendocino,"20,200","9,711"
,Sonoma,"70,160","26,481"
,Trinity,"2,465","1,992"
District Totals,,"127,378","58,982"
,Percent,68.4%,31.6%
,,,
State Assembly 3,,,
,Butte,"39,346","31,590"
,Glenn,"3,524","4,231"
,Placer,"1,657","2,047"
,Sutter,"13,441","13,856"
,Tehama,"9,159","10,858"
,Yuba,"9,041","10,081"
District Totals,,"76,168","72,663"
,Percent,51.2%,48.8%
,,,
State Assembly 4,,,
,Colusa,"2,601","2,796"
,Lake,"11,466","8,409"
,Napa,"33,856","14,746"
,Sonoma,"8,878","2,981"
,Yolo,"46,298","20,319"
District Totals,,"103,099","49,251"
,Percent,67.7%,32.3%
,,,
State Assembly 5,,,
,El Dorado,"36,248","28,221"
,Placer,"90,203","68,868"
District Totals,,"126,451","97,089"
,Percent,56.6%,43.4%
,,,
State Assembly 6,,,
,Sacramento,"98,160","53,174"
District Totals,,"98,160","53,174"
,Percent,64.9%,35.1%
,,,
State Assembly 7,,,
,Sacramento,"96,258","69,819"
District Totals,,"96,258","69,819"
,Percent,58.0%,42.0%
,,,
State Assembly 8,,,
,Calaveras,"7,849","6,696"
,Fresno,"55,131","52,332"
,Inyo,"4,156","3,086"
,Madera,"9,376","10,500"
,Mariposa,"3,901","3,821"
,Mono,"2,862","1,569"
,Tuolumne,"12,862","9,877"
District Totals,,"96,137","87,881"
,Percent,52.2%,47.8%
,,,
State Assembly 9,,,
,Amador,"1,983","2,154"
,Calaveras,"3,013","3,394"
,Sacramento,"10,463","9,902"
,San Joaquin,"44,041","36,668"
,Stanislaus,"14,734","14,873"
District Totals,,"74,234","66,991"
,Percent,52.6%,47.4%
,,,
State Assembly 10,,,
,Sacramento,"85,464","47,591"
District Totals,,"85,464","47,591"
,Percent,64.2%,35.8%
,,,
State Assembly 11,,,
,Contra Costa,"11,923","8,108"
,Sacramento,162,132
,Solano,"82,268","46,824"
District Totals,,"94,353","55,064"
,Percent,63.1%,36.9%
,,,
State Assembly 12,,,
,Marin,"95,606","21,737"
,San Francisco,0,0
,Sonoma,"59,132","23,716"
District Totals,,"154,738","45,453"
,Percent,77.3%,22.7%
,,,
State Assembly 13,,,
,San Joaquin,"56,737","36,320"
District Totals,,"56,737","36,320"
,Percent,61.0%,39.0%
,,,
State Assembly 14,,,
,Alameda,"72,969","12,140"
,Contra Costa,"56,736","17,396"
District Totals,,"129,705","29,536"
,Percent,81.5%,18.5%
,,,
State Assembly 15,,,
,Contra Costa,"102,943","48,257"
District Totals,,"102,943","48,257"
,Percent,68.1%,31.9%
,,,
State Assembly 16,,,
,Alameda,"45,677","19,098"
,Contra Costa,"104,691","33,040"
District Totals,,"150,368","52,138"
,Percent,74.3%,25.7%
,,,
State Assembly 17,,,
,San Francisco,"126,800","34,241"
District Totals,,"126,800","34,241"
,Percent,78.7%,21.3%
,,,
State Assembly 18,,,
,Alameda,"106,377","29,590"
,San Francisco,0,0
District Totals,,"106,377","29,590"
,Percent,78.2%,21.8%
,,,
State Assembly 19,,,
,San Francisco,"107,182","28,104"
,San Mateo,"24,800","10,245"
District Totals,,"131,982","38,349"
,Percent,77.5%,22.5%
,,,
State Assembly 20,,,
,Alameda,"86,912","36,626"
District Totals,,"86,912","36,626"
,Percent,70.4%,29.6%
,,,
State Assembly 21,,,
,San Mateo,"114,288","39,359"
District Totals,,"114,288","39,359"
,Percent,74.4%,25.6%
,,,
State Assembly 22,,,
,Merced,"2,468","2,917"
,Stanislaus,"54,162","44,118"
District Totals,,"56,630","47,035"
,Percent,54.6%,45.4%
,,,
State Assembly 23,,,
,San Mateo,"41,439","13,205"
,Santa Clara,"92,929","26,831"
District Totals,,"134,368","40,036"
,Percent,77.0%,23.0%
,,,
State Assembly 24,,,
,Alameda,"47,008","18,152"
,Santa Clara,"30,684","14,055"
District Totals,,"77,692","32,207"
,Percent,70.7%,29.3%
,,,
State Assembly 25,,,
,Santa Clara,"73,178","34,557"
District Totals,,"73,178","34,557"
,Percent,67.9%,32.1%
,,,
State Assembly 26,,,
,Santa Clara,"84,916","29,382"
District Totals,,"84,916","29,382"
,Percent,74.3%,25.7%
,,,
State Assembly 27,,,
,Fresno,"12,788","11,448"
,Madera,"8,264","7,817"
,Merced,"27,037","21,506"
District Totals,,"48,089","40,771"
,Percent,54.1%,45.9%
,,,
State Assembly 28,,,
,Santa Clara,"91,904","36,865"
,Santa Cruz,"38,797","14,024"
District Totals,,"130,701","50,889"
,Percent,72.0%,28.0%
,,,
State Assembly 29,,,
,Monterey,"29,533","17,563"
,San Benito,"11,880","7,318"
,Santa Clara,"12,107","6,447"
,Santa Cruz,"9,962","4,780"
District Totals,,"63,482","36,108"
,Percent,63.7%,36.3%
,,,
State Assembly 30,,,
,Monterey,"37,685","15,454"
,San Luis Obispo,"62,760","41,481"
,Santa Cruz,"25,003","9,346"
District Totals,,"125,448","66,281"
,Percent,65.4%,34.6%
,,,
State Assembly 31,,,
,Fresno,"40,253","33,109"
District Totals,,"40,253","33,109"
,Percent,54.9%,45.1%
,,,
State Assembly 32,,,
,Kern,"49,554","63,677"
,Tulare,"19,600","21,689"
District Totals,,"69,154","85,366"
,Percent,44.8%,55.2%
,,,
State Assembly 33,,,
,Fresno,"4,341","5,040"
,Kings,"12,370","14,076"
,Tulare,"23,067","24,413"
District Totals,,"39,778","43,529"
,Percent,47.7%,52.3%
,,,
State Assembly 34,,,
,Kern,"4,234","4,827"
,Los Angeles,"21,000","20,652"
,San Bernardino,"37,827","38,750"
